id,Position,Track Name,Artist
1,1,Demo 5 Nostalgia Intro - Remix,Renzo Pianciola
2,2,Tu hai kahan,AUR
3,3,PARANOIA,HEARTSTEEL
4,4,Ağlama ben ağlarım,Canozan
5,5,Mega Funk Lost,DJ Maninho
6,6,lady madrizZz,céro
7,7,Mi Kryptonita,Doble ONE Flow Letal
8,8,Long time no see,Taimour Baig
9,9,ALL MY FELLAS,Frizk
10,10,Yüreğim Ağlar,Amo988
11,11,Si No Estás,iñigo quintero
12,12,My Love Mine All Mine,Mitski
13,13,711,TONEEJAY
14,14,IT GIRL,Aliyah's Interlude
15,15,9mm,Memphis Cult
16,16,Tutti,Calcutta 
17,17,penjaga hati,Nadhif Basalamah
18,18,Barbie,JaidynAlexis
19,19,Ateşe Düştüm,Mert Demir
20,20,Daqui pra Sempre,Manu
21,21,Baile do Bruxo,Tropa do Bruxo
22,22,Tipo Hollywood,Mc Ws da leste
23,23,Meet you at the Graveyard,Cleffy
24,24,B.,Anıl Emre Daldal
25,25,all I want is you,Rebzyyx
26,26,Blonde Chaya - Sped up,Amaru
27,27,Vois sur ton chemin - Techno Mix,BENNETT
28,28,Take A Chance With Me,NIKI
29,29,PAREHAS TAYO,Nateman
30,30,if u think i'm pretty,Artemas
31,31,HARLEY QUINN,Fuerza Regida
32,32,Bugambilia,Nasa Histoires
33,33,Reggaeton Champagne,Bellakath
34,34,Pane no Sistema,GREGO
35,35,ELLERİM BOŞ,M Lisa
36,36,Water,Tyla
37,37,2minuti,Calcutta 
38,38,Lose Control,Teddy Swims
39,39,DILATAÇÃO HIPNÓTICA 6.0,DJ FLG
40,40,Nothing's New,Rio Romeo
41,41,tu fan,mafalda cardenal
42,42,Tapi Tahukah Kamu?,Dygta
43,43,"Dance For Me (1, 2, 3) - Stutter Techno",Sonny Wern
44,44,Tas Texteandome,Katteyes
45,45,2003,Liaze
46,46,Khalasi | Coke Studio Bharat,Aditya Gadhvi
47,47,Soak City (Do it),310babii
48,48,Diamondz n Roses,VaporGod
49,49,Bad Boy,Sayian Jimmy
50,50,كلام عينيه,Sherine
